Viewer,Image,Type,Value,X,Y,Z,Series,Label 1,Label 2,Label 3,Label 4
MNI152_T1_2mm_brain,Others_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 18 of 23,1.8521798849105835,-44,-80,2,1,Left Cerebrum,Occipital Lobe,Inf Occipital Gyr,Brodmann area 19
MNI152_T1_2mm_brain,Others_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 19 of 23,2.318908452987671,-48,-66,10,1,Left Cerebrum,Temporal Lobe,Mid Temporal Gyr,Brodmann area 37
MNI152_T1_2mm_brain,Others_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 19 of 23,2.0374996662139893,-46,-68,10,1,Left Cerebrum,Temporal Lobe,Mid Temporal Gyr,Brodmann area 37
MNI152_T1_2mm_brain,Others_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 19 of 23,2.167457342147827,-48,-66,12,1,Left Cerebrum,Temporal Lobe,Mid Temporal Gyr,Brodmann area 37
MNI152_T1_2mm_brain,Others_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 20 of 23,2.3226120471954346,16,-90,0,1,Right Cerebrum,Occipital Lobe,Lingual Gyrus,Brodmann area 18
MNI152_T1_2mm_brain,Others_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 20 of 23,2.2262117862701416,16,-88,0,1,Right Cerebrum,Occipital Lobe,Lingual Gyrus,Brodmann area 18
MNI152_T1_2mm_brain,Others_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 20 of 23,2.2262117862701416,16,-88,0,1,Right Cerebrum,Occipital Lobe,Lingual Gyrus,Brodmann area 18
MNI152_T1_2mm_brain,Others_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 21 of 23,2.3697524070739746,-24,-80,-36,1,Left Cerebellum,Posterior Lobe,Inf Semi-Lunar Lob,
MNI152_T1_2mm_brain,Others_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 21 of 23,2.0065274238586426,-26,-80,-36,1,Left Cerebellum,Posterior Lobe,Inf Semi-Lunar Lob,
MNI152_T1_2mm_brain,Others_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 21 of 23,2.0065274238586426,-26,-80,-36,1,Left Cerebellum,Posterior Lobe,Inf Semi-Lunar Lob,
MNI152_T1_2mm_brain,Others_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 22 of 23,2.049635648727417,42,-50,-20,1,Right Cerebellum,Anterior Lobe,Culmen,
MNI152_T1_2mm_brain,Others_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 22 of 23,2.049635648727417,42,-50,-20,1,Right Cerebellum,Anterior Lobe,Culmen,
MNI152_T1_2mm_brain,Others_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 22 of 23,2.049635648727417,42,-50,-20,1,Right Cerebellum,Anterior Lobe,Culmen,
MNI152_T1_2mm_brain,Others_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 23 of 23,2.043529987335205,52,-60,28,1,Right Cerebrum,Temporal Lobe,Mid Temporal Gyr,Brodmann area 39
MNI152_T1_2mm_brain,Others_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 23 of 23,2.043529987335205,52,-60,28,1,Right Cerebrum,Temporal Lobe,Mid Temporal Gyr,Brodmann area 39
MNI152_T1_2mm_brain,Others_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 23 of 23,2.043529987335205,52,-60,28,1,Right Cerebrum,Temporal Lobe,Mid Temporal Gyr,Brodmann area 39
