Viewer,Image,Type,Value,X,Y,Z,Series,Label 1,Label 2,Label 3,Label 4
MNI152_T1_2mm_brain,Soc_Comm_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 13 of 17,1.799118161201477,-36,-48,46,1,Left Cerebrum,Parietal Lobe,Inf Parietal Lob,Brodmann area 40
MNI152_T1_2mm_brain,Soc_Comm_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 14 of 17,2.2835159301757812,4,24,46,1,Right Cerebrum,Frontal Lobe,Sup Frontal Gyrus,Brodmann area 8
MNI152_T1_2mm_brain,Soc_Comm_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 14 of 17,2.017916202545166,2,24,46,1,Right Cerebrum,Frontal Lobe,Sup Frontal Gyrus,Brodmann area 8
MNI152_T1_2mm_brain,Soc_Comm_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 14 of 17,2.017916202545166,2,24,46,1,Right Cerebrum,Frontal Lobe,Sup Frontal Gyrus,Brodmann area 8
MNI152_T1_2mm_brain,Soc_Comm_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 15 of 17,2.3226120471954346,-46,28,-10,1,Left Cerebrum,Frontal Lobe,Inf Frontal Gyrus,Brodmann area 47
MNI152_T1_2mm_brain,Soc_Comm_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 15 of 17,2.3226120471954346,-46,28,-10,1,Left Cerebrum,Frontal Lobe,Inf Frontal Gyrus,Brodmann area 47
MNI152_T1_2mm_brain,Soc_Comm_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 15 of 17,2.3226120471954346,-46,28,-10,1,Left Cerebrum,Frontal Lobe,Inf Frontal Gyrus,Brodmann area 47
MNI152_T1_2mm_brain,Soc_Comm_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 16 of 17,2.2057714462280273,-6,-96,8,1,Left Cerebrum,Occipital Lobe,Cuneus,Brodmann area 17
MNI152_T1_2mm_brain,Soc_Comm_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 16 of 17,2.2057714462280273,-6,-96,8,1,Left Cerebrum,Occipital Lobe,Cuneus,Brodmann area 17
MNI152_T1_2mm_brain,Soc_Comm_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 16 of 17,2.2057714462280273,-6,-96,8,1,Left Cerebrum,Occipital Lobe,Cuneus,Brodmann area 17
MNI152_T1_2mm_brain,Soc_Comm_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 17 of 17,2.1060500144958496,-6,-94,6,1,Left Cerebrum,Occipital Lobe,Cuneus,Brodmann area 17
MNI152_T1_2mm_brain,Soc_Comm_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 17 of 17,2.1060500144958496,-6,-94,6,1,Left Cerebrum,Occipital Lobe,Cuneus,Brodmann area 17
MNI152_T1_2mm_brain,Soc_Comm_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 17 of 17,2.1060500144958496,-6,-94,6,1,Left Cerebrum,Occipital Lobe,Cuneus,Brodmann area 17
