Viewer,Image,Type,Value,X,Y,Z,Series,Label 1,Label 2,Label 3,Label 4
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 8 of 25,2.847963333129883,-2,18,50,1,Left Cerebrum,Frontal Lobe,Sup Frontal Gyrus,Brodmann area 6
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 9 of 25,8.125890731811523,0,56,-4,1,Left Cerebrum,Frontal Lobe,Med Frontal Gyrus,Brodmann area 10
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 9 of 25,2.0121891498565674,2,50,-8,1,Right Cerebrum,Limbic Lobe,Anterior Cingulate,
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 9 of 25,3.352794885635376,-2,50,-6,1,Left Cerebrum,Limbic Lobe,Anterior Cingulate,Brodmann area 32
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 10 of 25,8.125890731811523,48,12,32,1,Right Cerebrum,Frontal Lobe,Precentral Gyrus,Brodmann area 9
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 10 of 25,2.0121891498565674,44,6,30,1,Right Cerebrum,Frontal Lobe,Precentral Gyrus,Brodmann area 6
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 10 of 25,8.125890731811523,48,14,30,1,Right Cerebrum,Frontal Lobe,Mid Frontal Gyrus,Brodmann area 9
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 11 of 25,8.125890731811523,40,-48,-18,1,Right Cerebrum,Temporal Lobe,Fusiform Gyrus,Brodmann area 37
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 11 of 25,2.0276107788085938,38,-48,-22,1,Right Cerebellum,Anterior Lobe,Culmen,
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 11 of 25,8.125890731811523,40,-50,-18,1,Right Cerebrum,Temporal Lobe,Fusiform Gyrus,Brodmann area 37
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 12 of 25,3.1946511268615723,-40,-48,50,1,Left Cerebrum,Parietal Lobe,Inf Parietal Lob,Brodmann area 40
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 12 of 25,2.017916202545166,-38,-50,46,1,Left Cerebrum,Parietal Lobe,Inf Parietal Lob,Brodmann area 40
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 12 of 25,2.820158004760742,-38,-50,50,1,Left Cerebrum,Parietal Lobe,Inf Parietal Lob,Brodmann area 40
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 13 of 25,8.125890731811523,58,-4,-18,1,Right Cerebrum,Temporal Lobe,Sup Temporal Gyr,Brodmann area 21
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 13 of 25,2.0121891498565674,54,-4,-18,1,Right Cerebrum,Temporal Lobe,Sup Temporal Gyr,Brodmann area 38
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 13 of 25,3.011453866958618,56,-2,-18,1,Right Cerebrum,Temporal Lobe,Sup Temporal Gyr,Brodmann area 38
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 14 of 25,3.540083885192871,-40,-54,-20,1,Left Cerebellum,Anterior Lobe,Culmen,
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 14 of 25,2.002788543701172,-40,-60,-16,1,Left Cerebellum,Posterior Lobe,Declive,
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 14 of 25,3.1946511268615723,-42,-54,-18,1,Left Cerebrum,Temporal Lobe,Fusiform Gyrus,Brodmann area 37
